id,title,view,label
217,"['agustus', 'angka', 'mati', 'covid', 'kota', 'malang', 'turun']",11929,populer
218,"['rs', 'changi', 'singapura', 'klaster', 'covid']",677,populer
219,"['covid', 'kota', 'surabaya', 'resmi', 'turun', 'level']",6287,populer
220,"['polemik', 'dana', 'makam', 'covid', 'dprd', 'kota', 'malang', 'temu']",6331,populer
221,"['serap', 'insentif', 'makam', 'covid', 'kabupaten', 'malang', 'persen']",9702,populer
222,"['anggota', 'boy', 'group', 'kpop', 'enhypen', 'papar', 'covid']",2636,populer
223,"['keluyur', 'positif', 'covid', 'perempuan', 'hukum', 'penjara']",7013,populer
224,"['mcw', 'endus', 'duga', 'pungli', 'insentif', 'tugas', 'makam', 'covid']",12309,populer
225,"['refocusing', 'anggar', 'inovasi', 'pemda', 'minimalisir', 'dampak', 'covid']",8785,populer
226,"['covid', 'varian', 'mu', 'muncul', 'kolombia', 'tular', 'kebal', 'vaksin']",7553,populer
227,"['lambat', 'laju', 'covid', 'mahasiswa', 'um', 'gelar', 'riset', 'lintas', 'studi']",11814,populer
228,"['honor', 'makam', 'covid', 'kota', 'malang', 'telat', 'cair', 'dlh', 'rapel']",4663,populer
229,"['dana', 'makam', 'covid', 'kota', 'malang', 'lambat', 'cair']",6928,populer
230,"['alhamdulillah', 'jatim', 'resmi', 'zona', 'merah', 'tular', 'covid']",8277,populer
231,"['wagub', 'dki', 'zona', 'merah', 'covid', 'jakarta', 'sisa']",5117,populer
232,"['jatim', 'wilayah', 'tular', 'covid', 'tinggi']",11227,populer
233,"['pemkot', 'malang', 'naik', 'anggar', 'btt', 'covid', 'rp', 'miliar']",6640,populer
234,"['minimalisir', 'tular', 'covid', 'polres', 'malang', 'optimal', 'drive', 'thru']",1224,populer
235,"['kota', 'malang', 'ppkm', 'level', 'sutiaji', 'abai', 'protokol', 'covid']",11583,populer
236,"['kronologi', 'bupati', 'jember', 'terima', 'honor', 'makam', 'covid']",11339,populer
237,"['indonesiasehatindonesiahebat', 'sembako', 'warga', 'imbas', 'covid']",2016,populer
238,"['bupati', 'jember', 'terima', 'honor', 'makam', 'covid', 'rp', 'juta']",13535,populer
239,"['pek', 'daerah', 'alami', 'naik', 'covid']",10730,populer
240,"['istri', 'papar', 'covid', 'jalan', 'isoman', 'suami', 'gaul', 'keponakan']",1100,populer
241,"['pandemi', 'covid', 'kabupaten', 'malang', 'ribu', 'orang', 'miskin']",10132,populer
242,"['pemkab', 'malang', 'siap', 'hotel', 'isoter', 'hamil', 'positif', 'covid']",10993,populer
243,"['sembuh', 'total', 'covid', 'xiumin', 'exo', 'lanjut', 'proyek', 'musical']",11302,populer
244,"['dampak', 'kabut', 'otak', 'pasca', 'covid', 'lupa', 'sakit', 'kepala']",13977,populer
245,"['papar', 'covid', 'deddy', 'corbuzier', 'tinggal', 'gegara', 'badai', 'sitokin']",1269,populer
246,"['bumil', 'malang', 'raya', 'papar', 'covid', 'tinggal']",6756,populer
247,"['bantu', 'nakes', 'isoter', 'pemkab', 'malang', 'rekrut', 'rawan', 'covid']",14243,populer
248,"['airlangga', 'apresiasi', 'kalsel', 'bantu', 'isoman', 'covid', 'hasil', 'panen']",3033,populer
249,"['klaster', 'covid', 'singapura', 'sebar', 'giant', 'supermarket']",801,populer
250,"['tinggal', 'gua', 'pria', 'vaksin', 'covid']",14046,populer
251,"['pr', 'kejar', 'malang', 'kawal', 'ketat', 'belanja', 'covid']",5220,populer
252,"['airlangga', 'hartarto', 'vaksinasi', 'lindung', 'bumil', 'bayi', 'covid']",11164,populer
253,"['covid', 'jinak', 'bor', 'nasional', 'rs', 'tinggal', 'persen']",4654,populer
254,"['bantu', 'atas', 'covid', 'jalur', 'senyap', 'anggar', 'bin', 'lipat']",4882,populer
255,"['bantu', 'tracing', 'covid', 'ampi', 'makota', 'layan', 'drive', 'thru', 'swab', 'gotong', 'royong']",13903,populer
256,"['satgas', 'covid', 'malang', 'cepat', 'pindah', 'pasien', 'covid', 'isoter']",10566,populer
257,"['sembuh', 'covid', 'gejala', 'lalilulelo', 'patut', 'waspada']",13734,populer
258,"['menko', 'airlangga', 'tumbuh', 'ekonomi', 'gantung', 'tangan', 'covid']",13692,populer
259,"['optimal', 'layan', 'covid', 'rsud', 'kota', 'malang', 'siap', 'lab', 'pcr']",3302,populer
260,"['anak', 'hilang', 'orang', 'tua', 'pandemi', 'covid']",6041,populer
261,"['waspada', 'long', 'covid', 'anak', 'catat', 'tahu', 'gejala']",5403,populer
262,"['tangan', 'covid', 'panglima', 'tni', 'pangdam', 'dandim', 'laku']",11854,populer
263,"['menko', 'airlangga', 'semangat', 'pasien', 'covid', 'rawat', 'isoter']",3663,populer
264,"['menteri', 'luhut', 'pemda', 'tutup', 'data', 'covid']",11345,populer
265,"['menko', 'marves', 'pulang', 'pr', 'pemkot', 'malang', 'tangan', 'covid']",7568,populer
266,"['pasutri', 'temu', 'vaksin', 'covid', 'siap', 'formula', 'tangkal', 'varian', 'delta']",2672,populer
267,"['luhut', 'warga', 'malang', 'positif', 'covid', 'manut', 'rawat', 'isoter']",2197,populer
268,"['teliti', 'singapura', 'kembang', 'obat', 'covid', 'bentuk', 'pil']",5705,populer
269,"['covid', 'malang', 'isoter', 'sorot', 'deputi', 'menko', 'marves']",11248,populer
270,"['simak', 'rencana', 'gubernur', 'jatim', 'kendali', 'covid', 'malang', 'raya']",13336,populer
271,"['data', 'covid', 'kota', 'malang', 'update', 'respon', 'puskesmas']",2409,populer
272,"['derita', 'covid', 'ogah', 'tempat', 'isoter']",7820,populer
273,"['sorot', 'pemprov', 'angka', 'sembuh', 'covid', 'kota', 'malang', 'klaim', 'persen']",5539,populer
274,"['sutiaji', 'beber', 'lemah', 'tangan', 'covid', 'kota', 'malang']",13693,populer
275,"['cepat', 'tracing', 'covid', 'rs', 'malang', 'bantu', 'kontainer']",13940,populer
276,"['israel', 'klaim', 'temu', 'obat', 'covid', 'sembuh', 'pasien']",7935,populer
277,"['babe', 'cabita', 'diendorse', 'covid', 'auto', 'kaum', 'rebah']",3899,populer
278,"['honor', 'tugas', 'makam', 'covid', 'bal', 'rp', 'ribu', 'nunggak']",5092,populer
279,"['menko', 'airlangga', 'cepat', 'serap', 'anggar', 'tangan', 'covid']",14864,populer
280,"['wajib', 'pasien', 'covid', 'isoman']",1050,populer
